id, date, sales, stock
657, 2024-01-25, 3, 188
657, 2024-01-26, 2, 185
657, 2024-01-27, 3, 183
657, 2024-01-28, 2, 180
657, 2024-01-29, 4, 176
657, 2024-01-30, 3, 172
657, 2024-01-31, 4, 169
657, 2024-02-01, 4, 165
657, 2024-02-02, 5, 161
657, 2024-02-03, 4, 157
657, 2024-02-04, 1, 153
657, 2024-02-05, 2, 152
657, 2024-02-06, 2, 150
657, 2024-02-07, 5, 145
657, 2024-02-08, 1, 144
657, 2024-02-09, 2, 143
657, 2024-02-10, 2, 141
657, 2024-02-11, 3, 139
657, 2024-02-12, 4, 136
657, 2024-02-13, 3, 132
657, 2024-02-14, 5, 129
657, 2024-02-15, 6, 124
657, 2024-02-16, 4, 118
657, 2024-02-17, 2, 114
657, 2024-02-18, 3, 112
657, 2024-02-19, 3, 109
657, 2024-02-20, 0, 106
275, 2024-01-21, 50, 1000
275, 2024-01-22, 48, 950
275, 2024-01-23, 52, 902
275, 2024-01-24, 50, 1000
275, 2024-01-25, 48, 950
275, 2024-01-26, 52, 902
275, 2024-01-27, 50, 1000
275, 2024-01-28, 48, 950
275, 2024-01-29, 52, 902
275, 2024-01-30, 50, 1000
275, 2024-01-31, 48, 950
275, 2024-02-01, 52, 902
275, 2024-02-02, 50, 1000
275, 2024-02-03, 48, 950
275, 2024-02-04, 52, 902
275, 2024-02-05, 50, 1000
275, 2024-02-06, 48, 950
275, 2024-02-07, 52, 902
275, 2024-02-08, 50, 1000
275, 2024-02-09, 48, 950
275, 2024-02-10, 52, 902
275, 2024-02-11, 50, 1000
275, 2024-02-12, 48, 950
275, 2024-02-13, 52, 902
275, 2024-02-14, 50, 1000
275, 2024-02-15, 48, 950
275, 2024-02-16, 52, 902
275, 2024-02-17, 50, 1000
275, 2024-02-18, 48, 950
275, 2024-02-19, 52, 902
275, 2024-02-20, 50, 1000
784, 2024-01-01, 25, 80
784, 2024-01-02, 20, 55
784, 2024-01-03, 15, 35
784, 2024-01-04, 20, 20
784, 2024-01-05, 0, 0
784, 2024-01-06, 0, 0
784, 2024-01-07, 35, 100
784, 2024-01-08, 30, 65
784, 2024-01-09, 15, 35
784, 2024-01-10, 20, 20
784, 2024-01-11, 0, 0
784, 2024-01-12, 0, 0
784, 2024-01-13, 0, 0
784, 2024-01-14, 25, 100
784, 2024-01-15, 10, 75
784, 2024-01-16, 0, 65
784, 2024-01-17, 20, 65
784, 2024-01-18, 15, 45
784, 2024-01-19, 20, 30
784, 2024-01-20, 10, 10
784, 2024-03-01, 0, 0
784, 2024-03-02, 15, 50
784, 2024-03-03, 5, 35
784, 2024-03-04, 15, 100
784, 2024-03-05, 20, 85
784, 2024-03-06, 10, 65
784, 2024-03-07, 15, 55
784, 2024-03-08, 25, 40
784, 2024-03-09, 10, 15
784, 2024-03-10, 5, 5
784, 2024-03-11, 20, 50
557, 2024-01-21, 20, 100
557, 2024-01-22, 25, 80
557, 2024-01-23, 15, 55
557, 2024-01-24, 20, 40
557, 2024-01-25, 10, 20
557, 2024-01-26, 35, 110
557, 2024-01-27, 20, 75
557, 2024-01-28, 30, 65
557, 2024-01-29, 15, 35
557, 2024-01-30, 10, 20
557, 2024-01-31, 10, 10
557, 2024-02-01, 0, 0
557, 2024-02-02, 0, 0
557, 2024-02-03, 0, 0
557, 2024-02-04, 0, 0
557, 2024-02-05, 0, 0
557, 2024-02-06, 30, 120
557, 2024-02-07, 15, 90
557, 2024-02-08, 20, 75
557, 2024-02-09, 30, 55
557, 2024-02-10, 15, 25
557, 2024-02-11, 15, 110
557, 2024-02-12, 5, 95
557, 2024-02-13, 25, 110
557, 2024-02-14, 20, 85
557, 2024-02-15, 10, 65
557, 2024-02-16, 15, 55
557, 2024-02-17, 25, 40
557, 2024-02-18, 10, 15
557, 2024-02-19, 5, 5
557, 2024-02-20, 0, 0
323, 2024-01-21, 5, 200
323, 2024-01-22, 5, 195
323, 2024-01-23, 5, 190
323, 2024-01-24, 5, 185
323, 2024-01-25, 5, 180
323, 2024-01-26, 5, 175
323, 2024-01-27, 10, 170
323, 2024-01-28, 10, 160
323, 2024-01-29, 5, 150
323, 2024-01-30, 5, 145
323, 2024-01-31, 5, 140
323, 2024-02-01, 5, 135
323, 2024-02-02, 5, 130
323, 2024-02-03, 5, 125
323, 2024-02-04, 5, 120
323, 2024-02-05, 5, 115
323, 2024-02-06, 5, 110
323, 2024-02-07, 5, 105
323, 2024-02-08, 10, 100
323, 2024-02-09, 20, 90
323, 2024-02-10, 5, 70
323, 2024-02-11, 5, 65
323, 2024-02-12, 5, 60
323, 2024-02-13, 5, 55
323, 2024-02-14, 5, 50
323, 2024-02-15, 5, 45
323, 2024-02-16, 5, 40
323, 2024-02-17, 10, 35
323, 2024-02-18, 15, 25
323, 2024-02-19, 5, 10
323, 2024-02-20, 0, 5
236, 2024-01-21, 150, 1000
236, 2024-01-22, 148, 850
236, 2024-01-23, 152, 702
236, 2024-01-24, 150, 550
236, 2024-01-25, 148, 400
236, 2024-01-26, 152, 252
236, 2024-01-27, 150, 1000
236, 2024-01-28, 148, 850
236, 2024-01-29, 152, 702
236, 2024-01-30, 150, 550
236, 2024-01-31, 148, 400
236, 2024-02-01, 152, 252
236, 2024-02-02, 150, 1000
236, 2024-02-03, 148, 850
236, 2024-02-04, 152, 702
236, 2024-02-05, 150, 550
236, 2024-02-06, 148, 400
236, 2024-02-07, 152, 252
236, 2024-02-08, 150, 1000
236, 2024-02-09, 148, 850
236, 2024-02-10, 152, 702
236, 2024-02-11, 150, 550
236, 2024-02-12, 148, 400
236, 2024-02-13, 152, 252
236, 2024-02-14, 150, 1000
236, 2024-02-15, 148, 850
236, 2024-02-16, 152, 702
236, 2024-02-17, 150, 550
236, 2024-02-18, 148, 400
236, 2024-02-19, 52, 252
236, 2024-02-20, 150, 200
72, 2024-01-01, 35, 720
72, 2024-01-02, 30, 685
72, 2024-01-03, 25, 655
72, 2024-01-04, 30, 630
72, 2024-01-05, 10, 600
72, 2024-01-06, 10, 590
72, 2024-01-07, 45, 580
72, 2024-01-08, 40, 535
72, 2024-01-09, 25, 495
72, 2024-01-10, 30, 460
72, 2024-01-11, 10, 430
72, 2024-01-12, 10, 420
72, 2024-01-13, 10, 410
72, 2024-01-14, 35, 400
72, 2024-01-15, 20, 365
72, 2024-01-16, 10, 345
72, 2024-01-17, 30, 335
72, 2024-01-18, 25, 305
72, 2024-01-19, 10, 280
72, 2024-01-20, 0, 270
72, 2024-03-01, 0, 270
72, 2024-03-02, 25, 270
72, 2024-03-03, 15, 245
72, 2024-03-04, 25, 230
72, 2024-03-05, 30, 205
72, 2024-03-06, 20, 175
72, 2024-03-07, 5, 155
72, 2024-03-08, 15, 150
72, 2024-03-09, 20, 135
72, 2024-03-10, 15, 115
72, 2024-03-11, 30, 100
852, 2024-01-21, 10, 100
852, 2024-01-22, 15, 90
852, 2024-01-23, 5, 75
852, 2024-01-24, 10, 70
852, 2024-01-25, 0, 60
852, 2024-01-26, 25, 35
852, 2024-01-27, 10, 25
852, 2024-01-28, 20, 190
852, 2024-01-29, 5, 170
852, 2024-01-30, 0, 165
852, 2024-01-31, 10, 165
852, 2024-02-01, 0, 155
852, 2024-02-02, 0, 155
852, 2024-02-03, 20, 155
852, 2024-02-04, 25, 135
852, 2024-02-05, 20, 110
852, 2024-02-06, 30, 90
852, 2024-02-07, 15, 60
852, 2024-02-08, 10, 45
852, 2024-02-09, 20, 35
852, 2024-02-10, 5, 15
852, 2024-02-11, 5, 210
852, 2024-02-12, 15, 205
852, 2024-02-13, 10, 190
852, 2024-02-14, 30, 180
852, 2024-02-15, 20, 150
852, 2024-02-16, 5, 130
852, 2024-02-17, 15, 125
852, 2024-02-18, 0, 110
852, 2024-02-19, 5, 110
852, 2024-02-20, 15, 105
